order_id,customer_id,order_date,payment_method
228,8,2024-06-10,Card
229,29,2024-01-28,Cash
230,48,2024-02-01,Card
231,49,2024-05-19,Mobile Banking
232,15,2024-02-01,Card
233,48,2024-02-03,Cash
234,14,2024-01-10,Card
235,20,2024-03-19,Cash
236,42,2024-03-07,Cash
237,14,2024-03-14,Cash
238,25,2024-05-01,Cash
239,4,2024-03-06,Cash
240,8,2024-03-22,Mobile Banking
241,50,2024-05-13,Cash
242,43,2024-04-21,Cash
243,33,2024-06-15,Mobile Banking
244,34,2024-04-05,Card
245,12,2024-02-20,Mobile Banking
246,28,2024-05-22,Cash
247,5,2024-04-30,Mobile Banking
248,39,2024-05-24,Mobile Banking
249,32,2024-04-22,Card
250,50,2024-01-06,Cash
251,31,2024-04-23,Card
252,15,2024-06-16,Mobile Banking
253,45,2024-05-04,Cash
254,44,2024-03-25,Mobile Banking
255,13,2024-05-04,Cash
256,17,2024-05-10,Mobile Banking
257,50,2024-01-23,Mobile Banking
258,27,2024-05-12,Card
259,33,2024-04-13,Card
260,44,2024-02-21,Card
261,34,2024-04-06,Card
262,9,2024-06-26,Card
263,31,2024-02-24,Card
264,34,2024-05-18,Card
265,16,2024-01-17,Mobile Banking
266,23,2024-06-18,Mobile Banking
267,35,2024-04-29,Cash
268,13,2024-04-25,Mobile Banking
269,5,2024-02-13,Cash
270,45,2024-05-27,Mobile Banking
271,21,2024-01-19,Cash
272,44,2024-06-21,Cash
273,50,2024-01-01,Cash
274,19,2024-01-13,Card
275,22,2024-02-15,Cash
276,23,2024-01-22,Card
277,19,2024-01-17,Cash
278,6,2024-06-23,Cash
279,40,2024-01-16,Card
280,6,2024-04-16,Mobile Banking
281,6,2024-05-27,Mobile Banking
282,7,2024-06-21,Card
283,32,2024-03-30,Cash
284,30,2024-03-05,Mobile Banking
285,17,2024-03-29,Card
286,43,2024-02-02,Mobile Banking
287,47,2024-02-09,Card
288,5,2024-06-25,Cash
289,47,2024-06-14,Mobile Banking
290,39,2024-05-02,Mobile Banking
291,14,2024-02-09,Cash
292,3,2024-05-22,Card
293,13,2024-01-28,Mobile Banking
294,25,2024-06-28,Card
295,28,2024-01-03,Cash
296,17,2024-05-09,Mobile Banking
297,47,2024-03-07,Cash
298,6,2024-01-31,Card
299,41,2024-03-14,Mobile Banking
300,30,2024-03-09,Cash
301,10,2024-02-15,Card
302,45,2024-02-14,Mobile Banking
303,40,2024-04-10,Mobile Banking
304,15,2024-06-07,Cash
305,7,2024-03-21,Mobile Banking
306,3,2024-03-10,Mobile Banking
307,38,2024-06-16,Card
308,23,2024-04-06,Mobile Banking
309,50,2024-02-17,Mobile Banking
310,47,2024-05-07,Card
311,10,2024-03-18,Card
312,36,2024-02-09,Card
313,16,2024-05-19,Card
314,21,2024-04-07,Cash
315,33,2024-02-07,Card
316,36,2024-02-24,Mobile Banking
317,22,2024-03-29,Card
318,7,2024-06-03,Cash
319,21,2024-06-09,Mobile Banking
320,1,2024-06-15,Mobile Banking
321,21,2024-05-01,Card
322,34,2024-02-21,Card
323,22,2024-03-23,Card
324,3,2024-04-22,Mobile Banking
325,12,2024-05-09,Cash
326,48,2024-06-21,Mobile Banking
327,12,2024-03-15,Mobile Banking
328,37,2024-02-18,Card
329,9,2024-04-14,Card
330,46,2024-01-03,Cash
331,44,2024-02-01,Card
332,8,2024-06-08,Cash
333,8,2024-06-26,Mobile Banking
334,22,2024-01-16,Cash
335,20,2024-06-22,Mobile Banking
336,40,2024-05-14,Cash
337,23,2024-03-25,Mobile Banking
338,46,2024-05-30,Card
339,36,2024-05-16,Mobile Banking
340,18,2024-05-25,Card
341,34,2024-02-01,Cash
342,9,2024-02-12,Cash
343,16,2024-03-14,Cash
344,11,2024-04-01,Cash
345,19,2024-04-11,Mobile Banking
346,28,2024-06-08,Card
347,18,2024-02-28,Mobile Banking
348,27,2024-03-13,Mobile Banking
349,40,2024-06-15,Card
350,1,2024-06-26,Cash
351,9,2024-05-08,Card
352,14,2024-02-01,Card
353,25,2024-01-24,Cash
354,13,2024-04-06,Cash
355,50,2024-01-08,Cash
356,35,2024-01-01,Cash
357,4,2024-02-29,Cash
358,33,2024-06-07,Mobile Banking
359,27,2024-06-25,Cash
360,18,2024-05-28,Card
361,12,2024-02-29,Mobile Banking
362,2,2024-01-03,Card
363,38,2024-06-11,Mobile Banking
364,38,2024-04-22,Cash
365,49,2024-06-26,Mobile Banking
366,10,2024-03-18,Cash
367,28,2024-04-19,Card
368,20,2024-01-29,Cash
369,44,2024-05-12,Card
370,21,2024-02-17,Mobile Banking
371,3,2024-05-28,Cash
372,48,2024-05-25,Mobile Banking
373,9,2024-02-09,Card
374,21,2024-03-23,Mobile Banking
375,49,2024-03-28,Mobile Banking
376,11,2024-01-15,Mobile Banking
377,33,2024-01-17,Cash
378,46,2024-05-25,Card
379,3,2024-05-15,Card
380,23,2024-03-02,Mobile Banking
381,4,2024-03-12,Cash
382,42,2024-02-05,Card
383,29,2024-04-22,Card
384,16,2024-05-29,Card
385,46,2024-04-03,Cash
386,39,2024-06-07,Mobile Banking
387,10,2024-03-14,Mobile Banking
388,42,2024-02-15,Card
389,42,2024-04-22,Card
390,37,2024-05-17,Mobile Banking
391,41,2024-05-09,Card
392,13,2024-05-28,Mobile Banking
393,35,2024-01-17,Card
394,37,2024-05-23,Mobile Banking
395,23,2024-04-16,Cash
396,6,2024-05-01,Cash
397,16,2024-02-05,Cash
398,4,2024-01-20,Card
399,38,2024-03-10,Mobile Banking
400,23,2024-03-18,Cash
401,47,2024-03-07,Card
402,15,2024-02-08,Cash
403,37,2024-02-01,Mobile Banking
404,20,2024-01-12,Card
405,45,2024-03-04,Mobile Banking
406,38,2024-01-22,Cash
407,47,2024-02-13,Mobile Banking
408,24,2024-01-02,Card
409,6,2024-05-22,Cash
410,25,2024-03-23,Cash
411,12,2024-06-12,Card
412,27,2024-05-18,Mobile Banking
413,35,2024-05-02,Card
414,17,2024-06-26,Card
415,42,2024-01-07,Mobile Banking
416,20,2024-01-11,Mobile Banking
417,35,2024-06-23,Cash
418,11,2024-02-27,Card
419,5,2024-06-03,Mobile Banking
420,4,2024-04-27,Cash
421,5,2024-04-20,Mobile Banking
422,41,2024-05-22,Card
423,8,2024-01-08,Cash
424,43,2024-03-04,Mobile Banking
425,49,2024-06-07,Mobile Banking
426,3,2024-04-16,Cash
427,40,2024-06-22,Cash
428,11,2024-03-29,Mobile Banking
429,9,2024-02-14,Cash
430,30,2024-04-30,Cash
431,5,2024-02-01,Mobile Banking
432,1,2024-02-11,Mobile Banking
433,50,2024-04-16,Cash
434,24,2024-03-29,Card
435,21,2024-03-19,Cash
436,30,2024-02-27,Card
437,32,2024-03-20,Card
438,49,2024-01-11,Mobile Banking
439,50,2024-06-10,Cash
440,49,2024-03-15,Card
441,43,2024-05-07,Card
442,23,2024-02-18,Mobile Banking
443,31,2024-02-14,Mobile Banking
444,1,2024-02-19,Cash
445,35,2024-01-30,Cash
446,21,2024-02-01,Cash
447,16,2024-01-09,Cash
448,21,2024-04-22,Cash
449,18,2024-03-28,Cash
450,11,2024-02-06,Card
451,1,2024-03-03,Card
452,1,2024-05-24,Mobile Banking
453,35,2024-05-13,Card
454,36,2024-02-12,Mobile Banking
455,29,2024-03-24,Card
456,42,2024-03-17,Mobile Banking
457,36,2024-02-19,Mobile Banking
458,22,2024-03-02,Cash
459,39,2024-06-11,Cash
460,46,2024-04-22,Card
461,25,2024-03-21,Cash
462,23,2024-06-12,Card
463,24,2024-03-09,Cash
464,29,2024-01-27,Mobile Banking
465,12,2024-06-22,Cash
466,12,2024-01-18,Card
467,23,2024-02-21,Card
468,29,2024-06-17,Card
469,37,2024-03-26,Mobile Banking
470,3,2024-01-04,Card
471,30,2024-03-19,Mobile Banking
472,40,2024-01-04,Cash
473,42,2024-02-19,Card
474,43,2024-05-14,Mobile Banking
475,9,2024-03-27,Cash
476,39,2024-03-06,Cash
477,27,2024-03-18,Card
478,18,2024-03-24,Card
479,17,2024-04-12,Cash
480,8,2024-02-27,Card
481,5,2024-02-06,Cash
482,47,2024-03-16,Cash
483,4,2024-03-04,Mobile Banking
484,49,2024-04-08,Mobile Banking
485,24,2024-03-20,Mobile Banking
486,47,2024-04-14,Mobile Banking
487,29,2024-06-03,Cash
488,45,2024-05-11,Cash
489,37,2024-06-02,Cash
490,32,2024-05-10,Card
491,49,2024-06-10,Mobile Banking
492,41,2024-04-15,Cash
493,22,2024-04-17,Card
494,1,2024-03-04,Cash
495,29,2024-03-27,Card
496,8,2024-01-26,Mobile Banking
497,44,2024-02-11,Card
498,27,2024-03-27,Card
499,6,2024-05-15,Card
500,13,2024-01-25,Card
